,feature,tfidf,mi_value,df_dep,df_nonDep,cpd
2113,on,0.0,0.187492501026965,85,37,0.39344262295081966
2115,one,0.0,0.06910164941861029,33,13,0.43478260869565216
2118,only,0.0,0.060042884980546385,31,9,0.55
2121,open,0.0,0.008954287188681836,4,2,0.3333333333333333
2135,other,0.0,0.041779039461948456,22,6,0.5714285714285714
2138,our,0.0,0.04760305898731308,7,23,0.5333333333333333
2140,out,0.0,0.11914147214534931,49,30,0.24050632911392406
2146,outside,0.0,0.004475213862199281,2,1,0.3333333333333333
2147,over,0.0,0.0721138329063322,33,15,0.375
2164,own,0.0,0.016620154418247594,6,5,0.09090909090909091
2190,partner,0.0,0.007511412231205749,3,2,0.2
2198,past,0.0,0.037266811320235946,19,6,0.52
2216,perfect,0.0,0.005918409128681631,3,1,0.5
2223,period,0.0,0.005918409128681631,3,1,0.5
2225,person,0.0,0.01358388218064877,5,4,0.1111111111111111
2261,place,0.0,0.02084108947520611,10,4,0.42857142857142855
2265,plan,0.0,0.005918409128681631,3,1,0.5
2267,planning,0.0,0.004639163578554617,1,2,0.3333333333333333
2268,plans,0.0,0.004475213862199281,2,1,0.3333333333333333
2272,playing,0.0,0.013750029755904761,4,5,0.1111111111111111
2287,poor,0.0,0.007511412231205749,3,2,0.2
2288,pop,0.0,0.004639163578554617,1,2,0.3333333333333333
2291,position,0.0,0.005918409128681631,3,1,0.5
2292,positive,0.0,0.004475213862199281,2,1,0.3333333333333333
2295,possible,0.0,0.005918409128681631,3,1,0.5
2296,post,0.0,0.01358388218064877,5,4,0.1111111111111111
2298,posted,0.0,0.007366125204724907,4,1,0.6
2300,posting,0.0,0.004475213862199281,2,1,0.3333333333333333
2311,practice,0.0,0.004475213862199281,2,1,0.3333333333333333
2316,prescribed,0.0,0.004475213862199281,2,1,0.3333333333333333
2323,pressure,0.0,0.005918409128681631,3,1,0.5
2344,problems,0.0,0.008954287188681836,4,2,0.3333333333333333
2345,process,0.0,0.004639163578554617,1,2,0.3333333333333333
2352,program,0.0,0.007860159198602208,1,4,0.6
2358,promise,0.0,0.004475213862199281,2,1,0.3333333333333333
2359,promised,0.0,0.004639163578554617,1,2,0.3333333333333333
2362,properly,0.0,0.005918409128681631,3,1,0.5
2380,public,0.0,0.007366125204724907,4,1,0.6
2433,re,0.0,0.007676088074605134,2,3,0.2
2437,read,0.0,0.013437296978133147,6,3,0.3333333333333333
2438,reading,0.0,0.007366125204724907,4,1,0.6
2440,ready,0.0,0.004639163578554617,1,2,0.3333333333333333
2459,recently,0.0,0.029705214071195495,16,4,0.6
2497,relationship,0.0,0.01477148074788404,8,2,0.6
2502,relief,0.0,0.005918409128681631,3,1,0.5
2507,remember,0.0,0.02837570257642815,13,6,0.3684210526315789
2510,remind,0.0,0.004639163578554617,1,2,0.3333333333333333
2512,reminder,0.0,0.004475213862199281,2,1,0.3333333333333333
2534,resources,0.0,0.004475213862199281,2,1,0.3333333333333333
2538,response,0.0,0.004475213862199281,2,1,0.3333333333333333
2540,rest,0.0,0.007676088074605134,2,3,0.2
2555,right,0.0,0.04179944229294129,21,7,0.5
2571,romantic,0.0,0.004475213862199281,2,1,0.3333333333333333
2585,run,0.0,0.004475213862199281,2,1,0.3333333333333333
2591,sad,0.0,0.011853685370655224,6,2,0.5
2596,said,0.0,0.022415444484659944,10,5,0.3333333333333333
2599,sat,0.0,0.005918409128681631,3,1,0.5
2606,saw,0.0,0.008954287188681836,4,2,0.3333333333333333
2612,scared,0.0,0.013310268294418502,7,2,0.5555555555555556
2618,scary,0.0,0.004475213862199281,2,1,0.3333333333333333
2627,school,0.0,0.04042260667330093,18,9,0.3333333333333333
2642,second,0.0,0.021098017266319696,8,6,0.14285714285714285
2645,see,0.0,0.05700910499152844,25,13,0.3157894736842105
2646,seeing,0.0,0.019508545150036645,8,5,0.23076923076923078
2655,seen,0.0,0.012321742750510876,3,5,0.25
2665,semester,0.0,0.006247034688436352,1,3,0.5
2672,sent,0.0,0.004639163578554617,1,2,0.3333333333333333
2682,several,0.0,0.007366125204724907,4,1,0.6
2699,share,0.0,0.007860159198602208,1,4,0.6
2705,she,0.0,0.04961822078329789,20,13,0.21212121212121213
2707,shes,0.0,0.0092843714662038,2,4,0.3333333333333333
2725,show,0.0,0.010897933521808427,2,5,0.42857142857142855
2737,sick,0.0,0.007366125204724907,4,1,0.6
2738,side,0.0,0.005918409128681631,3,1,0.5
2751,since,0.0,0.05546877038059746,29,8,0.5675675675675675
2753,single,0.0,0.010401701669030471,5,2,0.42857142857142855
2754,sister,0.0,0.013750029755904761,4,5,0.1111111111111111
2758,situation,0.0,0.004475213862199281,2,1,0.3333333333333333
2759,six,0.0,0.007676088074605134,2,3,0.2
2762,skills,0.0,0.005918409128681631,3,1,0.5
2763,skin,0.0,0.004475213862199281,2,1,0.3333333333333333
2770,sleeping,0.0,0.007366125204724907,4,1,0.6
2785,small,0.0,0.008954287188681836,4,2,0.3333333333333333
2787,smart,0.0,0.004475213862199281,2,1,0.3333333333333333
2803,so,0.0,0.29081724730136443,124,63,0.32620320855614976
2809,social,0.0,0.010547634895469468,4,3,0.14285714285714285
2823,someone,0.0,0.025251570735229434,13,4,0.5294117647058824
2830,song,0.0,0.004639163578554617,1,2,0.3333333333333333
2831,soon,0.0,0.004475213862199281,2,1,0.3333333333333333
2834,sort,0.0,0.004475213862199281,2,1,0.3333333333333333
2841,south,0.0,0.004475213862199281,2,1,0.3333333333333333
2846,special,0.0,0.007511412231205749,3,2,0.2
2880,start,0.0,0.022217383649973672,12,3,0.6
2881,started,0.0,0.042085112976262495,17,11,0.21428571428571427
2882,starting,0.0,0.02084108947520611,10,4,0.42857142857142855
2885,state,0.0,0.013437296978133147,6,3,0.3333333333333333
2892,stay,0.0,0.007511412231205749,3,2,0.2
2901,step,0.0,0.006247034688436352,1,3,0.5
2907,still,0.0,0.05087947625699648,25,9,0.47058823529411764
2925,strangers,0.0,0.004475213862199281,2,1,0.3333333333333333
2934,strong,0.0,0.005918409128681631,3,1,0.5
2938,struggled,0.0,0.007511412231205749,3,2,0.2
2939,struggling,0.0,0.010713043329591993,3,4,0.14285714285714285
2940,stuck,0.0,0.007366125204724907,4,1,0.6
2941,student,0.0,0.01199018674113236,5,3,0.25
2942,students,0.0,0.007860159198602208,1,4,0.6
2954,such,0.0,0.011853685370655224,6,2,0.5
2970,summer,0.0,0.004639163578554617,1,2,0.3333333333333333
2976,super,0.0,0.0239950264835923,10,6,0.25
2988,surprised,0.0,0.007511412231205749,3,2,0.2
3010,taken,0.0,0.005918409128681631,3,1,0.5
3012,taking,0.0,0.014888995558983466,7,3,0.4
3015,talked,0.0,0.004475213862199281,2,1,0.3333333333333333
3027,teacher,0.0,0.007860159198602208,1,4,0.6
3028,teachers,0.0,0.004475213862199281,2,1,0.3333333333333333
